tool_name,url,normalized_category,normalized_subcategory,description,pricing,output_type,tags,tags_normalized,example_use_cases,integrations,example_prompt_1,example_prompt_2,example_prompt_3
OpenAI (ChatGPT),https://openai.com,language models,Conversational AI,"LLM for chat, text generation, embeddings and APIs.",Free / Paid API,text,"chatbot,embeddings,api,general-purpose","chatbot,embeddings,api,general-purpose","chat assistant, summarization, code generation",API,Write 5 social media captions for a new coffee shop launch in a friendly tone using OpenAI (ChatGPT),Draft a landing page headline and subheadline with 3 variations targeting conversion using OpenAI (ChatGPT),Summarize this 1200-word article into a 150-word executive summary using OpenAI (ChatGPT)
Anthropic (Claude),https://www.anthropic.com,language models,Conversational AI,"Claude family of LLMs focused on helpful, safe responses.",Paid,text,"chatbot,api,safety-oriented","chatbot,api,safety-oriented","customer support assistant, summarization",API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Anthropic (Claude),Draft a landing page headline and subheadline with 3 variations targeting conversion using Anthropic (Claude),Summarize this 1200-word article into a 150-word executive summary using Anthropic (Claude)
Google Bard / Vertex AI,https://cloud.google.com/vertex-ai,language models,LLM & ML Platform,Google's LLMs and managed ML platform (Vertex AI).,Paid,"text,image,models","training,deployment,enterprise","training,deployment,enterprise","deploy custom models, MLOps",GCP,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Google Bard / Vertex AI,"Generate 5 stylized concept art variations of a futuristic city for a game, using Google Bard / Vertex AI",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Google Bard / Vertex AI
Microsoft Copilot,https://www.microsoft.com/copilot,productivity,Office AI,AI assistant integrated into Microsoft 365 for writing and automation.,Paid,text,"office,productivity,enterprise","office,productivity,enterprise","email drafting, document summarization",Microsoft 365,Write 5 social media captions for a new coffee shop launch in a friendly tone using Microsoft Copilot,Draft a landing page headline and subheadline with 3 variations targeting conversion using Microsoft Copilot,Summarize this 1200-word article into a 150-word executive summary using Microsoft Copilot
GitHub Copilot,https://github.com/features/copilot,developer tools,Code generation,AI code completion and suggestions inside editors.,Paid,code,"coding,ide,autocomplete","coding,ide,autocomplete","generate functions, boilerplate code","VS Code, JetBrains",Generate a Python function that calculates mean-variance portfolio optimization using GitHub Copilot,Refactor this JavaScript code to improve performance and readability using GitHub Copilot,Create unit tests for the following module using GitHub Copilot
Hugging Face,https://huggingface.co,model hub,Pretrained models & APIs,Model hub and inference APIs for many transformer models.,Free / Paid,"text,image,models","models,transformers,community","models,transformers,community","use pretrained models, host models",API,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Hugging Face,"Generate 5 stylized concept art variations of a futuristic city for a game, using Hugging Face",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Hugging Face
Cohere,https://cohere.ai,language models,Embeddings & generation,APIs for embeddings and generation useful for semantic search and chat.,Paid,"text,embeddings","embeddings,api,language-models","embeddings,api,language-models","semantic search,chatbots",API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Cohere,Draft a landing page headline and subheadline with 3 variations targeting conversion using Cohere,Summarize this 1200-word article into a 150-word executive summary using Cohere
Pinecone,https://www.pinecone.io,Vector DB,Semantic search,Managed vector database for embeddings and similarity search.,Paid,search,"vector-db,embeddings","vector-db,embeddings","semantic search, RAG",API,Use Pinecone to solve this task: Managed vector database for embeddings and similarity search.,How would I use Pinecone to automate a workflow for marketing?,Give me best practices for using Pinecone on a real-world project.
Weaviate,https://weaviate.io,Vector DB,Semantic search,Open-source vector database for semantic retrieval.,Open-source / Paid,search,"vector-db,semantic-search","vector-db,semantic-search","RAG, embeddings search",API,Use Weaviate to solve this task: Open-source vector database for semantic retrieval.,How would I use Weaviate to automate a workflow for marketing?,Give me best practices for using Weaviate on a real-world project.
Qdrant,https://qdrant.tech,Vector DB,Semantic search,Vector search engine for retrieval and RAG scenarios.,Open-source / Paid,search,"vector-db,open-source","vector-db,open-source","semantic retrieval, chatbots",API,Use Qdrant to solve this task: Vector search engine for retrieval and RAG scenarios.,How would I use Qdrant to automate a workflow for marketing?,Give me best practices for using Qdrant on a real-world project.
LangChain,https://langchain.com,developer tools,Frameworks,Framework for building LLM applications and RAG pipelines.,Open-source / Paid,code,"framework,rags","framework,rags","chatbots,agents",Python/JS,Generate a Python function that calculates mean-variance portfolio optimization using LangChain,Refactor this JavaScript code to improve performance and readability using LangChain,Create unit tests for the following module using LangChain
Llama 3 (Meta),https://ai.meta.com,language models,Open-source LLM,Meta's LLaMA family (open LLMs) and ecosystem.,Free / Research,text,"open-source,llm","open-source,llm","research,chat assistants",Community UIs,Write 5 social media captions for a new coffee shop launch in a friendly tone using Llama 3 (Meta),Draft a landing page headline and subheadline with 3 variations targeting conversion using Llama 3 (Meta),Summarize this 1200-word article into a 150-word executive summary using Llama 3 (Meta)
Mistral AI,https://mistral.ai,language models,LLM provider,Mistral models offering high-performance open models.,Paid / Free models,text,"llm,api","llm,api","text generation,embedding",API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Mistral AI,Draft a landing page headline and subheadline with 3 variations targeting conversion using Mistral AI,Summarize this 1200-word article into a 150-word executive summary using Mistral AI
Claude Instant (Anthropic),https://www.anthropic.com/product,language models,Assistant,Faster Claude models for lower-latency applications.,Paid,text,"fast,assistant","fast,assistant","embedded assistants, chatbots",API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Claude Instant (Anthropic),Draft a landing page headline and subheadline with 3 variations targeting conversion using Claude Instant (Anthropic),Summarize this 1200-word article into a 150-word executive summary using Claude Instant (Anthropic)
