tool_name,url,category,subcategory,description,pricing,output_type,tags,example_use_cases,integrations
OpenAI (ChatGPT),https://openai.com,Language Models,Conversational AI,"Large language models for text generation, chat, embeddings and APIs.",Free / Paid API,text,"chatbot,embeddings,api,general-purpose","chat assistant, summarization, code generation","API, Zapier via 3rd party"
Anthropic (Claude),https://www.anthropic.com,Language Models,Conversational AI,"LLMs focused on helpful, harmless responses and developer APIs.",Paid,text,"chatbot,api,safety-oriented","customer support assistant, summarization",API
Google Cloud Vertex AI,https://cloud.google.com/vertex-ai,ML Platforms,Model training & deployment,"Managed ML platform for training, deploying and hosting models.",Paid,"text,image,models","training,deployment,enterprise","deploy custom models, MLOps","GCP services, BigQuery"
Microsoft Copilot,https://www.microsoft.com/copilot,Productivity,Office AI,"AI assistant integrated into Microsoft 365 for writing, summarization, automation.",Paid (Microsoft 365),text,"office,productivity,enterprise","email drafting, document summarization",Microsoft 365
GitHub Copilot,https://github.com/features/copilot,Developer Tools,Code generation,AI-powered code completion and suggestions inside editors.,Paid,code,"coding,ide,autocomplete","generate functions, boilerplate code","VS Code, JetBrains, Neovim"
Jasper,https://www.jasper.ai,Marketing,AI copywriting,"AI platform for marketing copy, long‑form content and templates.",Paid,text,"copywriting,marketing,templates","blog posts, ad copy, social captions","SurferSEO, Zapier"
Copy.ai,https://www.copy.ai,Marketing,AI copywriting,Quick marketing copy and short-form content generator.,Free / Paid,text,"ads,social,templates","product descriptions, social media captions","Zapier, Chrome extension"
Writesonic,https://writesonic.com,Marketing,Copywriting & content,"AI writing assistant for marketing, landing pages and ads.",Free / Paid,text,"ads,blog,seo","landing page copy, email marketing","Zapier, WordPress"
Grammarly,https://www.grammarly.com,Writing,Editing & proofreading,"Grammar, style, and clarity suggestions for writing.",Free / Paid,text,"editing,proofreading,style","improve grammar, tone adjustments","Browser extension, MS Office"
QuillBot,https://quillbot.com,Writing,Paraphrasing,Paraphrasing and summarization tools for writers.,Free / Paid,text,"paraphrase,summary,writing","rewrite sentences, summarize articles",Browser extension
Hemingway Editor,https://hemingwayapp.com,Writing,Readability,Improves readability and highlights complex sentences.,Free (web) / Paid desktop,text,"readability,editing","simplify prose, editing for clarity",None
Canva (Magic Write),https://www.canva.com,Design,Graphic design & AI,Design platform with AI copywriting and image tools.,Free / Paid,"image,text","design,templates,marketing","social posts, presentations, image generation","Slack, Google Drive"
Midjourney,https://www.midjourney.com,Generative Art,Text-to-image,AI service for high-quality artistic image generation from prompts.,Paid subscription,image,"art,illustration,creative","brand imagery, concept art",Discord
DALL·E (OpenAI),https://openai.com/dall-e,Generative Art,Text-to-image,Generate images from text prompts using OpenAI models.,Paid credits,image,"image-generation,creative","product mockups, marketing visuals",API
Stable Diffusion (Stability),https://stability.ai,Generative Art,Text-to-image,Open-source image generation models and hosting.,Free (open-source) / Paid services,image,"image-generation,open-source","image concepts, artistic generation","DreamStudio, community UIs"
Leonardo.ai,https://leonardo.ai,Generative Art,Text-to-image,Image generation platform with creative control and assets.,Paid,image,"concept-art,gaming,assets","game assets, character concepts",Community assets
Runway,https://runwayml.com,Multimedia,Video & image editing AI,"Tools for video editing, image generation and creative workflows.",Free / Paid,"video,image","video-editing,green-screen,gen-2","video editing, background removal","Figma, After Effects"
